WorkItemID,FoundInAzure,AzureTitle,AzureState,Error
15,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
84791,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85599,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85671,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85678,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85685,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85686,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85804,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85808,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85809,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85810,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85874,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85875,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85884,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
85885,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86008,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86151,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86152,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86153,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86154,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86506,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86507,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86522,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86523,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86524,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86525,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86728,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86729,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
86731,False,,,"404 - {""$id"":""1"",""innerException"":null,""message"":""TF401232: Work item 15 does not exist, or you do not have permissions to read it."",""typeName"":""Microsoft.TeamFoundation.WorkItemTracking.Server.WorkItemUnauthorizedAccessException, Microsoft.TeamFoundation.WorkItemTracking.Server"",""typeKey"":""WorkItemUnauthorizedAccessException"",""errorCode"":0,""eventId"":3200}"
